Annova gene	Phenotype MIM number
NIPBL	"德朗热综合征1型(122470,AD)"
ELN	"皮肤松弛症AD1型(123700,AD)"
OPA1	"视神经萎缩伴或不伴有耳聋、眼肌麻痹、肌病、共济失调、神经病(125250,AD);视神经萎缩1型(165500,AD);Behr综合征(210000,AR);正常眼压型青光眼(606657,)"
NOTCH3	"遗传性多发脑梗死性痴呆AD1型(125310,AD)"
EFEMP1	"Doyne蜂窝状视网膜变性(126600,AD)"
CFH	"玻璃膜疣(126700,AD);老年性黄斑变性4(610698,/)"
FAM111A	"Kenny-Caffey综合征2型(127000,AD)"
TERC	"常染色体显性先天性角化不良症1型(127550,AD)"
EDAR	"外胚层发育不良10A型，少汗/头发/指甲型(129490,AD);外胚层发育不良10B型，少汗/头发/牙齿型(224900,AR)"
FBN1	"家族性晶状体异位(129600,AD);马凡综合征(154700,AD);Weill-Marchesani综合征2型(608328,AD)"
COL7A1	"营养不良性大疱性表皮松解AD型(131750,AD);大疱性表皮松解症营养不良性AR型(226600,AR)"
ELOVL4	"脊髓小脑共济失调34型(133190,AD);Stargardt病3型(600110,AD)"
ERCC6	"Cockayne综合征B型(133540,AR);老年性黄斑变性5(613761,/)"
FZD4	"渗出性视网膜病变1型(133780,AD)"
LCAT	"鱼眼病(136120,AR);Norum病(245900,AR)"
无	"视网膜黄斑营养不良1型(136550,AD)"
COL8A2	"Fuchs角膜内皮营养不良1型(136800,AD);角膜内皮营养不良多形性2型(609140,AD)"
RDH5	"白点状视网膜炎(136880,AR,?AD)"
RLBP1	"白点状视网膜炎(136880,AR,?AD);Bothnia视网膜营养不良(607475,AR);纽芬兰岛杆锥营养不良(607476,AR)"
RHO	"白点状视网膜炎(136880,AR,?AD);先天性静止性夜盲AD1型(610445,AD);视网膜色素变性4型(613731,AD,?AR)"
PRPH2	"白点状视网膜炎(136880,AR,?AD);黄斑营养不良图形化1型(169150,AD);视网膜色素变性7型(608133,AD,?AR,DD);黄斑营养不良卵黄状3型(608161,AD)"
TIMP3	"眼底营养不良(136900,AD)"
PITX2	"眼前节发育不全4型(137600,AD);Axenfeld-Rieger综合征1型(180500,AD);角膜环状皮样瘤(180550,AD)"
MYOC	"原发性开角型青光眼1A型(137750,AD)"
OPTN	"原发性开角型青光眼1E型(137760,AD);正常眼压型青光眼(606657,)"
VCAN	"Wagner综合征1型(143200,AD)"
SPECC1L	"Opitz?GBBB综合征2型(145410,AD)"
PTH	"家族性孤立性甲状旁腺功能减退症(146200,AD);家族性孤立性甲状旁腺功能减退症(146200,AR)"
GCM2	"家族性孤立性甲状旁腺功能减退症(146200,AD)"
KMT2D	"Kabuki综合征1型(147920,AD)"
GJB2	"角膜炎-鱼鳞病-耳聋综合征(148210,AD)"
VSX1	"圆锥形角膜1型(148300,AD)"
PAX3	"Waardenburg综合征3型(148820,AD,?AR);Waardenburg综合征1型(193500,AD)"
IGSF3	"泪道缺陷(149700,AR)"
FGFR3	"LADD综合征(149730,AD);Crouzon综合征伴黑棘皮病(612247,AD)"
FGF10	"LADD综合征(149730,AD);泪腺和唾液腺发育不全(180920,AD)"
KIF11	"小头畸形伴或不伴视网膜脉络膜病变，淋巴水肿，或智力低下(152950,AD)"
BEST1	"黄斑营养不良卵黄状2型(153700,AD);玻璃体视网膜脉络膜病变(193220,AD);Best病(611809,AR);视网膜色素变性50型(613194,)"
ABCA4	"老年性黄斑变性2(153800,AD,MI);Stargardt病1型(248200,AR);视网膜色素变性19型(601718,AR);视杆视锥营养不良3型(604116,AR)"
tRNA-Leu1	"老年性黄斑变性2(153800,AD,MI);Leigh综合征(256000,Mi,?AR);Kearn-Sayre综合征(530000,MI);线粒体肌病、脑病、乳酸性酸中毒和卒中样发作(540000,MI);肌阵挛性癫痫伴肌肉破碎红纤维(545000,MI)"
SF3B4	"面骨发育不全1型(154400,AD)"
TCOF1	"Treacher Collins综合征1型(154500,AD)"
COL11A1	"Marshall综合征(154780,AD);Marshall综合征(154780,AD);Stickler综合征2型(604841,AD)"
POLG	"常显进行性眼外肌麻痹1型(157640,AD);Leigh综合征(256000,Mi,?AR);常隐进行性眼外肌麻痹1型(258450,AR)"
MSH2	"Muir-Torre综合征(158320,AD)"
MLH1	"Muir-Torre综合征(158320,AD)"
DMPK	"肌强直性营养不良1型(160900,AD)"
KRT14	"Naegeli-Franceschetti-Jadassohn综合征(161000,AD)"
LMX1B	"指甲髌骨综合征(161200,AD)"
NF1	"神经纤维瘤1型(162200,AD)"
NRAS	"小儿表皮痣综合征(163200,SMu);Noonan综合征6型(613224,AD)"
HRAS	"小儿表皮痣综合征(163200,SMu)"
KRAS	"小儿表皮痣综合征(163200,SMu);Noonan综合征3型(609942,AD)"
PDE6B	"先天性静止性夜盲AD2型(163500,AD);视网膜色素变性40型(613801,AR)"
PTPN11	"Noonan综合征1型(163950,AD)"
GJA1	"眼-齿-指（趾）发育不良(164200,AD);眼-齿-指（趾）发育不良(257850,AR)"
PABPN1	"眼咽型肌营养不良(164300,AD)"
ATXN1	"脊髓小脑共济失调1型(164400,AD)"
ATXN7	"脊髓小脑共济失调7型(164500,AD)"
OPA3	"视神经萎缩3型伴白内障(165300,AD);3-甲基戊烯二酸尿症3型(258501,AR)"
CLCN7	"常显骨硬化病2型(166600,AD);骨硬化病AR4型(611490,AR)"
PRSS2	"遗传性胰腺炎(167800,AD)"
CTRC	"遗传性胰腺炎(167800,AD)"
SPINK1	"遗传性胰腺炎(167800,AD)"
PRSS1	"遗传性胰腺炎(167800,AD)"
CFTR	"遗传性胰腺炎(167800,AD)"
TFAP2B	"Char综合征(169100,AD)"
LMNB1	"脑白质营养不良成人型(169500,AD)"
KIT	"斑驳病(172800,AD)"
SNAI2	"斑驳病(172800,AD);Waardenburg综合征2D型(608890,AR)"
CRB1	"色素性静脉旁脉络膜视网膜萎缩(172870,AD);视网膜色素变性12型(600105,AR);Leber先天性黑矇8型(613835,AR)"
DDX59	"口面指综合征5型(174300,AR)"
APC	"腺瘤性结肠息肉病(175100,AD)"
STK11	"Peutz-Jeghers综合征(175200,AD)"
UROD	"皮肤卟啉症迟发型(176100,AR,?AD)"
HFE	"皮肤卟啉症迟发型(176100,AR,?AD);糖尿病微血管并发症7型(612635,/)"
LMNA	"Hutchinson Gilford早老症(176670,AR,?AD)"
LOXL1	"剥脱综合征(177650,AD)"
TBK1	"青光眼开角型1P型(177700,AD)"
RP1	"视网膜色素变性1型(180100,AD,?AR)"
RP9	"视网膜色素变性9型(180104,AD)"
IMPDH1	"视网膜色素变性10型(180105,AD);Leber先天性黑矇11型(613837,AD)"
RB1	"视网膜母细胞瘤(180200,SMu,?AD)"
CREBBP	"Rubinstein-Taybi综合征1型(180849,AD)"
HLA-DRB1	"结节病1型(181000,IC)"
HESX1	"视神经发育不良(182230,AD,?AR)"
ATL1	"痉挛性截瘫3A型(182600,AD)"
SPAST	"痉挛性截瘫4型(182601,AD)"
CACNA1A	"脊髓小脑共济失调6型(183086,AD);婴儿早期癫痫性脑病42型(617106,AD)"
ATXN2	"脊髓小脑共济失调2型(183090,AD)"
COL11A2	"Stickler综合征3型(184840,AD);Weissenbacher-Zweymuller综合征(215150,AR)"
GNAQ	"Sturge-Weber综合征(185300,IC)"
NOD2	"Blau综合征(186580,AD)"
ENG	"遗传性出血性毛细血管扩张症1型(187300,AD)"
FGF5	"睫毛粗长症(190330,AR)"
OPN1SW	"色盲-蓝(190900,AD)"
TSC1	"结节性硬化症1型(191100,AD)"
KCNJ13	"玻璃体视网膜变性Snowflake型(193230,AD);Leber先天性黑矇16型(614186,AR)"
CAPN5	"玻璃体视网膜病变新生血管炎症型(193235,AD)"
VHL	"希佩尔·林道综合征(193300,AD)"
CCND1	"希佩尔·林道综合征(193300,AD)"
无	"Williams-Beuren综合征(194050,AD)"
MTTP	"无β脂蛋白血症(200100,AR)"
TWIST2	"眼睑缺损畸形综合征(200110,AD);Barber-Say综合征(209885,AD)"
KIF7	"Joubert综合征12型(200990,AR)"
PEX5	"过氧化物酶体生物合成障碍2B(202370,AR);过氧化物酶体生物合成障碍2A(214110,AR);髋肩型点状软骨发育不良5型(616716,AR)"
OCA2	"眼皮肤白化病2型(203200,AR)"
MC1R	"眼皮肤白化病2型(203200,AR)"
TYRP1	"眼皮肤白化病3型(203290,AR)"
HPS1	"Hermansky-Pudlak综合征1型(203300,AR)"
GFAP	"亚历山大病(203450,AD)"
HGD	"黑酸尿症(203500,AR)"
COL4A4	"遗传性肾炎AR型(203780,AR)"
ALMS1	"Alstrom综合征(203800,AR)"
GUCY2D	"Leber先天性黑矇1型(204000,AR);视杆视锥营养不良6型(601777,AD)"
RPE65	"Leber先天性黑矇2型(204100,AR);视网膜色素变性20型(613794,AR)"
TACSTD2	"角膜营养不良胶滴状(204870,AR)"
ABCA1	"Tangier病(205400,AR)"
SOX2	"综合征性小眼球3型(206900,AD)"
ATM	"共济失调毛细血管扩张症(208900,AR)"
APTX	"共济失调伴眼运动失用症1型(208920,AR)"
BBS1	"Bardet-Biedl综合征1型(209900,DR,?AR)"
CCDC28B	"Bardet-Biedl综合征1型(209900,DR,?AR)"
ARL6	"Bardet-Biedl综合征1型(209900,DR,?AR);Bardet-Biedl综合征3型(600151,AR);视网膜色素变性55型(613575,AR)"
CYP4V2	"Bietti结晶样角膜视网膜变性(210370,AR)"
BLM	"Bloom综合征(210900,AR)"
LEMD2	"46型白内障(212500,AR)"
SIX6	"视神经盘异常伴视网膜和/或黄斑营养不良(212550,AR)"
RAB3GAP2	"Martsolf综合征(212720,AR);Warburg?micro综合征2型(614225,AR)"
PMPCA	"脊髓小脑共济失调AR2型(213200,AR)"
INPP5E	"Joubert综合征1型(213300,AR);精神发育迟滞-躯干肥胖-视网膜营养不良-小阴茎(610156,AR)"
CYP27A1	"脑腱黄瘤病(213700,AR)"
PEX1	"过氧化物酶体生物合成障碍1A(214100,AR);过氧化物酶体生物合成障碍1B(601539,AR)"
MYO5A	"Griscelli综合征1型(214450,AR)"
LYST	"Chediak-Higashi综合征(214500,AR)"
PEX7	"髋肩型点状软骨发育不良1型(215100,AR);成人Refsum病2型(614879,)"
ERCC8	"Cockayne综合征A型(216400,AR)"
SALL2	"眼缺损AR型(216820,AR)"
CNGA3	"色盲全2型(216900,AR)"
CNNM4	"Jalili综合征(217080,AR)"
PLG	"血纤维蛋白溶酶原缺乏症1型(217090,AR)"
SLC4A11	"角膜内皮营养不良伴感受性聋(217400,AR);角膜内皮营养不良AR型(217700,AR);角膜内皮营养不良Fuchs4型(613268,AD)"
CHST6	"角膜营养不良斑点状(217800,AR)"
FBLN5	"皮肤松弛症AR1A型(219100,AR);老年性黄斑变性3(608895,AD);皮肤松弛症AD2型(614434,AD)"
ALDH18A1	"皮肤松弛症AR3A型(219150,AR,?IC);痉挛性截瘫9A型(601162,AD);痉挛性截瘫9B型(616586,AR);皮肤松弛症AD3型(616603,AD)"
ATP6V0A2	"皮肤松弛症AR2A型(219200,AR);皱纹皮肤综合征(278250,AR)"
CTNS	"胱氨酸贮积症眼部非肾病型(219750,AR)"
LRPPRC	"Leigh综合征法国加拿大型(220111,AR)"
SLITRK6	"近视伴耳聋(221200,AR)"
ATOH7	"玻璃体持续增生(221900,AR)"
GNPAT	"髋肩型点状软骨发育不良2型(222765,AR)"
DBH	"多巴胺β羟化酶缺乏症(223360,AR)"
IKBKAP	"自主神经病变家族性(223900,AR)"
NOP10	"先天性角化不良症AR1型(224230,AR)"
WNT10A	"Schopf-Schulz-Passarge综合征(224750,AR);牙-甲-皮肤发育不良(257980,AR)"
ADAMTSL4	"晶状体异位单纯性AR型(225100,AR)"
CDH3	"黄斑营养不良-外胚层发育不良-先天性缺指(225280,AR);少毛症伴青少年黄斑营养不良(601553,AR)"
TSEN54	"脑桥小脑发育不全4型(225753,AR);脑桥小脑发育不全2A型(277470,AR);脑桥小脑发育不全5型(610204,AR)"
MMP1	"大疱性表皮松解症营养不良性AR型(226600,AR)"
PLEC	"大疱性表皮松解症伴肌营养不良(226670,AR)"
LAMC2	"大疱性表皮松解症Herlitz型交界型(226700,AR)"
LAMB3	"大疱性表皮松解症Herlitz型交界型(226700,AR)"
LAMA3	"大疱性表皮松解症Herlitz型交界型(226700,AR);喉甲皮肤综合征(245660,AR)"
ASAH1	"Farber脂肪肉芽肿(228000,AR)"
PLA2G5	"斑点样视网膜家族性良性(228980,AR)"
ZNF469	"角膜脆弱综合征1型(229200,AR)"
FXN	"Friedreich共济失调(229300,AR)"
FUCA1	"岩藻糖苷沉积症(230000,AR)"
GALK1	"半乳糖激酶缺乏症(230200,AR);半乳糖血症伴白内障(230200,AR)"
GALE	"半乳糖差向异构酶缺乏症(230350,AR)"
GALT	"半乳糖血症(230400,AR)"
GLB1	"GM1神经节苷脂沉积症1型(230500,AR);GM1神经节苷脂沉积症2型(230600,AR);GM1神经节苷脂沉积症3型(230650,AR);粘多糖贮积症4B型(253010,AR)"
ANTXR1	"GAPO综合征(230740,AR)"
GBA	"1型戈谢病(230800,AR);2型戈谢病(230900,AR);3型戈谢病(231000,AR);3C型戈谢病(231005,AR)"
CYP1B1	"青光眼原发性开角型3A型(231300,AR);眼前节发育不全6型(617315,AR)"
PANK2	"伴脑内铁沉积神经退行性病变1型(234200,AR)"
CBS	"经典同型胱氨酸尿症(236200,AR)"
POMT1	"肌-眼-脑病A1型(236670,AR);肌-眼-脑病C1型(609308,AR);肌-眼-脑病B1型(613155,AR)"
ALOX12B	"先天性鱼鳞病AR2型(242100,AR)"
TGM1	"先天性鱼鳞病AR1型(242300,AR)"
ABCA12	"先天性鱼鳞病AR4B型(242500,AR);先天性鱼鳞病AR4A型(601277,AR)"
EPG5	"Vici综合征(242840,AR)"
UBE3B	"眼-脑-脸综合征Kaufman型(244450,AR)"
TBCE	"Kenny-Caffey综合征1型(244460,AR)"
GALC	"Krabbe病(245200,AR)"
PNPLA6	"Laurence-Moon综合征(245800,AR);Oliver-McFarlane综合征(275400,AR);痉挛性截瘫39型(612020,AR)"
CLDN19	"低镁血症5型(248190,AR)"
CNGB3	"Stargardt病1型(248200,AR);全色盲3型(262300,AR)"
COLEC10	"3MC综合征3型(248340,AR)"
POLR1C	"Treacher Collins综合征3型(248390,AR);低髓鞘化脑白质营养不良11型(616494,AR)"
FREM1	"Manitoba眼-三鼻孔综合征(248450,AR)"
MAN2B1	"α甘露糖苷贮积症1型和2型(248500,AR)"
MANBA	"β甘露糖苷贮积症(248510,AR)"
SIL1	"Marinesco-Sjogren综合征(248800,AR)"
SPG21	"痉挛性截瘫21型(248900,AR)"
MKS1	"Meckel综合征1型(249000,AR);Bardet-Biedl综合征13型(615990,AR);Joubert综合征28型(617121,AR)"
PSAP	"ASP-b缺乏性异染性脑白质营养不良(249900,AR);非典型Krabb病(611722,AR)"
ARSA	"异染性脑白质营养不良(250100,AR)"
AUH	"3-甲基戊烯二酸尿症1型(250950,AR)"
MCPH1	"原发性小头症1型(251200,AR)"
TUBGCP6	"小头畸形伴脉络膜视网膜炎1型(251270,AR)"
OCLN	"假性TORCH综合征1型(251290,AR)"
WDR73	"脊髓小脑共济失调AR5型(251300,AR)"
LTBP2	"球形晶状体、角膜与晶状体异位伴或不伴有继发性青光眼(251750,AR);先天性青光眼3D型(613086,AR);Weill-Marchesani综合征3型(614819,AR)"
MOCS1	"钼辅酶缺乏症A型(252150,AR)"
MOCS2	"钼辅酶缺乏症B型(252160,AR)"
GNPTAB	"粘膜脂质沉积症Ⅱα/β型(252500,AR)"
GNPTG	"粘膜脂质沉积症3γ型(252605,AR)"
MCOLN1	"粘膜脂质沉积症IV型(252650,AR)"
SGSH	"粘多糖贮积症3A型(252900,AR)"
NAGLU	"粘多糖贮积症3B型(252920,AR)"
HGSNAT	"粘多糖贮积症3C型(252930,AR);视网膜色素变性73型(616544,AR)"
GNS	"粘多糖贮积症3D型(252940,AR)"
GALNS	"粘多糖贮积症4A型(253000,AR)"
ARSB	"粘多糖贮积症6型(253200,AR)"
GUSB	"粘多糖贮积症7型(253220,AR)"
POMGNT1	"肌-眼-脑病A3型(253280,AR);肌-眼-脑病B3型(613151,AR);肌-眼-脑病C3型(613157,AR);视网膜色素变性76型(617123,AR)"
FKTN	"肌-眼-脑病A4型(253800,AR);肌-眼-脑病C4型(611588,AR);肌-眼-脑病B4型(613152,AR)"
CHAT	"先天性肌无力综合征6型(254210,AR)"
DOK7	"先天性肌无力综合征10型(254300,AR)"
HSPG2	"Schwartz-Jampel综合征1型(255800,AR)"
BCS1L	"Leigh综合征(256000,Mi,?AR)"
NDUFA10	"Leigh综合征(256000,Mi,?AR)"
SDHA	"Leigh综合征(256000,Mi,?AR)"
NDUFS4	"Leigh综合征(256000,Mi,?AR)"
NDUFAF2	"Leigh综合征(256000,Mi,?AR)"
NDUFS7	"Leigh综合征(256000,Mi,?AR)"
ATP6	"Leigh综合征(256000,Mi,?AR);神经病-共济失调-视网膜色素变性(551500,MI)"
ND5	"Leigh综合征(256000,Mi,?AR);线粒体肌病、脑病、乳酸性酸中毒和卒中样发作(540000,MI);肌阵挛性癫痫伴肌肉破碎红纤维(545000,MI)"
ND3	"Leigh综合征(256000,Mi,?AR);Leber遗传性视神经病变伴肌张力障碍(500001,MI)"
ND6	"Leigh综合征(256000,Mi,?AR);Leber遗传性视神经病变伴肌张力障碍(500001,MI);线粒体肌病、脑病、乳酸性酸中毒和卒中样发作(540000,MI)"
ND4	"Leigh综合征(256000,Mi,?AR);Leber遗传性视神经病变伴肌张力障碍(500001,MI)"
tRNA-Trp	"Leigh综合征(256000,Mi,?AR)"
ND2	"Leigh综合征(256000,Mi,?AR)"
tRNA-Lys	"Leigh综合征(256000,Mi,?AR);线粒体肌病、脑病、乳酸性酸中毒和卒中样发作(540000,MI);肌阵挛性癫痫伴肌肉破碎红纤维(545000,MI)"
ND1	"Leigh综合征(256000,Mi,?AR);Leber遗传性视神经病变伴肌张力障碍(500001,MI);线粒体肌病、脑病、乳酸性酸中毒和卒中样发作(540000,MI)"
tRNA-Val	"Leigh综合征(256000,Mi,?AR)"
MTFMT	"Leigh综合征(256000,Mi,?AR)"
SCO2	"Leigh综合征(256000,Mi,?AR);近视6型(608908,AD)"
NDUFV1	"Leigh综合征(256000,Mi,?AR)"
COX3	"Leigh综合征(256000,Mi,?AR)"
NDUFS2	"Leigh综合征(256000,Mi,?AR)"
NDUFAF5	"Leigh综合征(256000,Mi,?AR)"
NARS2	"Leigh综合征(256000,Mi,?AR)"
NDUFA1	"Leigh综合征(256000,Mi,?AR)"
NDUFS1	"Leigh综合征(256000,Mi,?AR)"
DLD	"Leigh综合征(256000,Mi,?AR)"
SCO1	"Leigh综合征(256000,Mi,?AR)"
COX15	"Leigh综合征(256000,Mi,?AR)"
NDUFA12	"Leigh综合征(256000,Mi,?AR)"
NDUFA2	"Leigh综合征(256000,Mi,?AR)"
NDUFAF6	"Leigh综合征(256000,Mi,?AR)"
NDUFS3	"Leigh综合征(256000,Mi,?AR)"
NDUFS8	"Leigh综合征(256000,Mi,?AR)"
FOXRED1	"Leigh综合征(256000,Mi,?AR)"
NDUFA9	"Leigh综合征(256000,Mi,?AR)"
COX10	"Leigh综合征(256000,Mi,?AR)"
SURF1	"Leigh综合征(256000,Mi,?AR)"
PSMB8	"过敏-脂肪代谢障碍-皮肤病综合征(256040,AR)"
NPHP1	"肾单位肾痨1型(256100,AR);Senior-Loken综合征1型(266900,AR);Joubert综合征4型(609583,AR)"
SPINK5	"Netherton综合征(256500,AR)"
CTSA	"半乳糖唾液酸贮积症(256540,AR)"
NEU1	"唾液酸贮积症I/II型(256550,AR)"
PLA2G6	"伴脑内铁沉积神经退行性病变2A型(256600,AR);伴脑内铁沉积神经退行性病变2B型(610217,AR)"
SMPD1	"A型尼曼匹克病(257200,AR);尼曼匹克病B型(607616,AR)"
NPC1	"C1型尼曼匹克病(257220,AR)"
GRM6	"常隐先天性静止性夜盲1B型(257270,AR)"
MASP1	"3MC综合征1型(257920,AR)"
SAG	"小口氏病1型(258100,AR);视网膜色素变性47型(613758,AR)"
GP1BA	"非动脉炎性前部缺血性视神经病变(258660,AR)"
TCTN3	"口面指综合征4型(258860,AR);Joubert综合征18型(614815,AR)"
OAT	"回旋状脉络膜视网膜萎缩(258870,AR)"
TCIRG1	"常隐骨硬化病1型(259700,AR)"
TNFSF11	"常隐骨硬化病2型(259710,AR)"
OSTM1	"常隐骨硬化病5型(259720,AR)"
CA2	"常隐骨硬化病3型(259730,AR)"
LRP5	"骨质疏松症假性神经胶质瘤综合征(259770,AR);渗出性视网膜病变4型(601813,AD,?AR);常显骨硬化病1型(607634,AD)"
AGXT	"原发性高草酸尿症1型(259900,AR)"
GRHPR	"原发性高草酸尿症2型(260000,AR)"
MAPT	"渐进性非典型性核上麻痹(260540,AR);进行性核上麻痹(601104,AD)"
AIMP1	"低髓鞘化脑白质营养不良3型(260600,AR)"
B3GLCT	"Peters-plus综合征(261540,AR)"
DHODH	"米勒综合症(263750,AR)"
ABCC6	"弹性假黄瘤病(264800,AR)"
XYLT1	"弹性假黄瘤病(264800,AR)"
XYLT2	"弹性假黄瘤病(264800,AR);脊柱-视力综合征(605822,AR)"
CHRNG	"Escobar综合征(265000,AR)"
COLEC11	"3MC综合征2型(265050,AR)"
PHYH	"Refsum病(266500,AR)"
PEX12	"过氧化物酶体生物合成障碍3B(266510,AR);过氧化物酶体生物合成障碍3A(614859,AR)"
IFT140	"短肋骨胸廓发育不良9型(266920,AR)"
NPHP3	"Meckel综合征7型(267010,AR);肾单位肾痨3型(604387,AR)"
COL18A1	"Knobloch综合征1型(267750,AR)"
NR2E3	"Enhanced S-cone综合征(268100,AR);视网膜色素变性37型(611131,AD,?AR)"
TINF2	"先天性角化不良症AD5型(268130,AD);先天性角化不良症AD3型(613990,AD)"
ESCO2	"Roberts综合征(268300,AR)"
RECQL4	"Rothmund-Thomson综合征(268400,AR)"
HEXB	"GM2神经节苷脂沉积症2型(268800,AR)"
PXDN	"眼前节发育不全7型(269400,AR)"
PIK3R1	"SHORT综合征(269880,AD)"
ALDH3A2	"Sjogren-Larsson综合征(270200,AR)"
DHCR7	"Smith-lemli-opitz综合征(270400,AR)"
SACS	"痉挛性共济失调6型(270550,AR)"
BSCL2	"痉挛性截瘫17型(270685,AD)"
ZFYVE26	"痉挛性截瘫15型(270700,AR)"
DSTYK	"痉挛性截瘫23型(270750,AR)"
CYP7B1	"痉挛性截瘫5A型(270800,AR)"
SUOX	"亚硫酸盐氧化酶缺乏症(272300,AR)"
GM2A	"GM2神经节苷脂沉积症AB变种(272750,AR)"
HEXA	"Tay-Sachs病(272800,AR)"
ABHD5	"Chanarin-Dorfman综合征(275630,AR)"
SPG20	"痉挛性截瘫20型(275900,AR)"
TAT	"酪氨酸血症2型(276600,AR)"
FAH	"酪氨酸血症1型(276700,AR)"
HPD	"酪氨酸血症3型(276710,AR)"
MYO7A	"亚瑟综合征1B型(276900,AR)"
PDZD7	"亚瑟综合征2A型(276901,AR);亚瑟综合征2C型(605472,DD,?AR)"
USH2A	"亚瑟综合征2A型(276901,AR);视网膜色素变性39型(613809,AR)"
CLRN1	"亚瑟综合征3A型(276902,AR);视网膜色素变性61型(614180,AR)"
USH1C	"亚瑟综合征1C型(276904,AR)"
C5orf42	"口面指综合征6型(277170,AR);Joubert综合征17型(614615,AR)"
MMACHC	"甲基丙二酸尿伴高胱氨酸尿症，Cblc型(277400,AR)"
TTPA	"共济失调伴单纯性维生素E缺乏(277460,AR)"
EDNRB	"Waardenburg综合征4A型(277580,AR,?AD)"
EZH2	"Weaver综合征(277590,AD)"
ADAMTS10	"Weill-Marchesani综合征1型(277600,AR)"
WRN	"Werner综合征(277700,AR)"
ATP7B	"Wilson病(277900,AR)"
XPA	"着色性干皮病A群(278700,AR)"
XPC	"着色性干皮病C群(278720,AR)"
ERCC2	"着色性干皮病D群(278730,AR)"
DDB2	"着色性干皮病E群(278740,AR)"
POLH	"着色性干皮病变体型(278750,AR)"
ERCC4	"着色性干皮病F群(278760,AR)"
ERCC5	"着色性干皮病G群(278780,AR)"
PIGL	"CHIME综合征(280000,AR)"
MID1	"Opitz?GBBB综合征1型(300000,XLR)"
