Annova	Phenotype
ADAT3	"常染色体隐性精神发育迟滞36型(615286,AR)"
ADCK3	"原发性辅酶Q10缺乏4型(612016,AR)"
ADCY5	"家族性运动障碍和面肌颤搐(606703,AD)"
ADCY6	"致死性先天挛缩综合征8型(616287,AR)"
ADGRG1	"双侧额顶多小脑回畸形(606854,AR);双侧外侧裂周区多小脑回畸形(615752,AR)"
ADGRG6	"致死性先天挛缩综合征9型(616503,AR)"
ADGRV1	"家族性热性惊厥4型(604352,AD)"
ADK	"高甲硫氨酸血症(614300,AR)"
ADNP	"常染色体显性精神发育迟滞28型(615873,AD)"
ADRA2B	"成人型家族性肌阵挛癫痫2型(607876,AD)"
ADSL	"腺苷琥珀酸裂解酶缺陷症(103050,AR)"
AFF2	"X连锁智力低下综合征FRAXE型(309548,XLR)"
AFF4	"CHOPS综合征(616368,AD)"
AFG3L2	"遗传性痉挛性共济失调5型(614487,AR);脊髓小脑性共济失调28型(610246,AD)"
AGA	"天冬氨酰基葡萄糖胺尿症(208400,AR)"
AGK	"Sengers综合征(212350,AR)"
AGL	"糖原贮积病3型(232400,AR)"
AGPAT2	"先天性全身性脂代谢营养不良1型(608594,AR)"
AGPS	"肢根斑点状软骨发育异常3型(600121,AR)"
AGRN	"先天性肌无力综合征8型(615120,AR)"
AGXT	"原发性高草酸尿症1型(259900,AR)"
AHCY	"高甲硫胺酸血症与S-腺苷高半胱氨酸水解酶缺乏症(613752,AR)"
AHDC1	"Xin-Gibbs综合征(615829,AD)"
AHI1	"Joubert综合征3型(608629,AR)"
AIFM1	"氧化磷酸化结合障碍性疾病6型(300816,XLR);COWCK综合征(310490,XLR);X连锁耳聋5型(300614,XLR)"
AIMP1	"髓鞘形成不足性脑白质营养不良3型(260600,AR)"
AIP	"垂体ACTH腺瘤(219090,AR);生长激素垂体腺瘤(102200,AD,SMu)"
AKT1	"普罗特斯综合征(176920,AR)"
AKT2	"低胰岛素血症性低血糖及偏身肥大(240900,AD)"
AKT3	"巨颅，多小脑回，多指畸形，脑积水综合征2型(615937,AD)"
ALAD	"急性肝脏性卟啉病(612740,AR)"
ALDH18A1	"常染色体隐性皮肤松弛症III A型(219150,AR,IC);痉挛性截瘫9A型(601162,AD);痉挛性截瘫9B型(616586,AR)"
ALDH3A2	"鱼鱗病样红皮症-痉挛性截瘫-智力发育不全综合征(270200,AR)"
ALDH4A1	"高脯氨酸血症II型(239510,AR)"
ALDH5A1	"琥拍酸半醛脱氢酶缺乏症(271980,AR)"
ALDH7A1	"吡哆醇依赖性癫痫(266100,AR)"
ALDOA	"糖原贮积症12型(611881,AR)"
ALDOB	"遗传性果糖不耐症(229600,AR)"
ALG1	"先天性糖基化障碍1K型(608540,AR)"
ALG11	"先天性糖基化障碍1P型(613661,AR)"
ALG12	"先天性糖基化障碍1G型(607143,AR)"
ALG13	"早期幼儿癫痫性脑病36型(300884,XLD)"
ALG14	"先天性肌无力综合征15型(616227,AR)"
ALG2	"先天性糖基化障碍1I型(607906,AR);先天性肌无力综合征14型(616228,AR)"
ALG3	"先天性糖基化障碍1D型(601110,AR)"
ALG6	"先天性糖基化障碍1C型(603147,AR)"
ALG8	"先天性糖基化障碍1H型(608104,AR)"
ALG9	"先天性糖基化障碍1L型(608776,AR);Gillessen-Kaesbach-Nishimura综合征(263210,AR)"
ALK	"神经母细胞瘤3型(613014,AD)"
ALMS1	"Alstrom 综合征(203800,AR)"
ALPL	"儿童型碱性憐酸酶过少症(241510,AR);婴儿型碱性磷酸酶过少症(241500,AR)"
ALS2	"肌萎缩侧索硬化症2型(205100,AR);青少年原发性侧索硬化症(606353,AR);累及延髓的婴儿上升型痉挛性截瘫(607225,AR)"
ALX3	"额鼻骨发育不良(136760,AR)"
ALX4	"狭颅症5型(615529,AD)"
AMACR	"α-甲酰基辅酶A消旋酶缺陷(614307,AR);先天性胆汁酸合成缺陷4型(214950,AR)"
AMER1	"条纹状骨病伴烦骨硬化(300373,XLD)"
AMMECR1	"面中部发育不良，听力损伤，椭圆形红细胞增多症和肾钙质沉着症(300990,XLR)"
AMN	"巨幼细胞性贫血1型(261100,AR)"
AMPD1	"肌腺苷酸脱氨酶缺乏性肌病(615511,AR)"
AMPD2	"脑桥，小脑发育不良9型(615809,AR);痉挛性截瘫63型(615686,AR)"
AMPD3	"红细胞AMP脱氨酶缺乏症(612874,AR)"
ANG	"肌萎缩侧索硬化症9型(611895,AD)"
ANK3	"常染色体隐性精神发育迟滞37型(615493,AR)"
ANKH	"常染色体显性颅骨干骺端发育不良(123000,AD)"
ANKLE2	"小头畸形16型(616681,AR)"
ANKRD11	"KBG综合征(148050,AD)"
ANO10	"常染色体隐性遗传性脊髓小脑性共济失调10型(613728,AR)"
ANO3	"肌张力障碍24型(615034,AD)"
ANO5	"Miyoshi肌营养不良 3型(613319,AR);肢带型肌营养不良2L型(611307,AR)"
ANTXR1	"生长迟缓、脱发、埋伏牙及视神经萎缩综合征(230740,AR)"
ANTXR2	"透明性纤维瘤病综合征(228600,AR)"
AP1S1	"精神发育迟滞，肠病，耳聋，周围神经病，鱼鳞病和角化(609313,AR)"
AP1S2	"精神发育迟滞X连锁综合征5型(304340,XLR)"
AP3B1	"Hermansky-Pudlak综合征(608233,AR)"
AP3B2	"早期幼儿癫痫性脑病48型(617276,AR)"
AP4B1	"痉挛性截瘫47型(614066,AR)"
AP4E1	"痉挛性截瘫51型(613744,AR)"
AP4M1	"痉挛性截瘫50型(612936,AR)"
AP4S1	"痉挛性截瘫52型(614067,AR)"
AP5Z1	"痉挛性截瘫48型(613647,AR)"
APOA1	"家族性内脏淀粉样变性(105200,AD)"
APOB	"家族性低β脂蛋白血症1型(615558,AR)"
APOE	"阿尔茨海默病2型(104310,AD)"
APOPT1	"线粒体复合物IV缺陷症(220110,AR,Mi)"
APP	"阿尔茨海默病1型(104300,AD);脑淀粉样血管病, APP相关(605714,AD)"
APTX	"早发型共济失调伴眼球运动不能和低白蛋白血症(208920,AR)"
AQP2	"常染色体遗传性肾性尿崩症(125800,AD,AR)"
AR	"脊髓延髓肌萎缩症(313200,XLR)"
ARFGEF2	"常染色体隐性遗传脑室周围异位和小头畸形(608097,AR)"
ARG1	"精氨酸血症(207800,AR)"
ARHGAP31	"Adams-Oliver 综合征1型(100300,AD)"
ARHGEF10	"常染色体显性遗传的神经传导速度减慢(608236,AD)"
ARHGEF6	"X连锁智力低下46型(300436,XLR)"
ARHGEF9	"早期幼儿癫痫性脑病8型(300607,XLR)"
ARID1A	"Coffin-Siris综合征2型(614607,AD)"
ARID1B	"Coffin-Siris综合征1型(135900,AD)"
ARL13B	"Joubert综合征8型(612291,AR)"
ARL6IP1	"痉挛性截瘫61型(615685,AR)"
ARMC9	"Joubert综合征30型(617622,AR)"
ARSA	"异染性脑白质营养不良(250100,AR)"
ARSB	"黏多糖贮积症Ⅳ型(253200,AR)"
ARSE	"X连锁隐性遗传点状软骨发育异常1型(302950,XLR)"
ARV1	"早期幼儿癫痫性脑病38型(617020,AR)"
ARX	"早期幼儿癫痫性脑病1型(308350,XLR);X连锁无脑回畸形2型(300215,XL);X连锁智力发育迟滞29型(300419,XLR);帕廷顿X连锁智力低下综合征(309510,XLR);胼胝体发育不全伴生殖器异常(300004,XL)"
ASAH1	"法伯脂肪肉芽肿(228000,AR);脊肌萎缩伴进展性肌阵挛性癫痫(159950,AR)"
ASCL1	"先天性中枢性低通气综合征(209880,AD)"
ASL	"精氨基琥珀酸尿症(207900,AR)"
ASNS	"天冬酰胺合成酶缺乏症(615574,AR)"
ASPA	"Canavan病(271900,AR)"
ASPM	"小头畸形5型(608716,AR)"
ASS1	"典型瓜氨酸血症(215700,AR)"
ASXL1	"Bohring-Opitz综合征(605039,AD)"
ASXL3	"Bainbridge-Ropers综合征(615485,AD)"
ATCAY	"Cayman小脑共济失调症(601238,AR)"
ATG5	"常染色体隐性遗传性脊髓小脑性共济失调25型(617584,AR)"
ATIC	"5-氨基咪唑-4-甲酰胺核苷酸甲酰基转移酶，次黄嘌呤核苷酸环水解酶缺陷(608688,AR)"
ATL1	"遗传性感觉和自主神经性神经病1D型(613708,AD);痉挛性截瘫3A型(182600,AD)"
ATL3	"遗传性感觉和自主神经性神经病1F型(615632,AD)"
ATM	"共济失调毛细血管扩张症(208900,AR)"
ATN1	"齿状核，红核，苍白球路易体萎缩症(125370,AD)"
ATP13A2	"Kufor-Rakeb综合征(606693,AR);痉挛性截瘫78型(617225,AR)"
ATP1A2	"儿童交替性偏瘫1型(104290,AD);家族性偏瘫型偏头痛2型(602481,AD)"
ATP1A3	"儿童交替性偏瘫2型(614820,AD);CAPOS综合征(601338,AD);肌张力障碍12型(128235,AD)"
ATP2A1	"Brody肌病(601003,AR)"
ATP2A2	"Darier-White病/毛囊角化病(124200,AD)"
ATP2B3	"X连锁隐性遗传小脑性共济失调1型(302500,XLR)"
ATP5A1	"氧化磷酸化结合障碍性疾病22型(616045,AR);线粒体复合物V缺陷症N4型(615228,AR)"
ATP5E	"线粒体复合物V缺陷症N3型(614053,AR)"
ATP6AP2	"精神发育迟滞X连锁症状性赫德拉型(300423,XLR);X染色体遗传强直型帕金森病(300911,XLR)"
ATP6V1B2	"先天性耳聋伴指甲营养不良(124480,AD);济-拉二氏综合征2型(616455,AD)"
ATP6V0A2	"常染色体隐性皮肤松弛症II A型(219200,AR);皱纹皮肤综合征(278250,AR)"
ATP6V1A	"常染色体隐性皮肤松弛症2D型(617403,AR)"
ATP6V1E1	"常染色体隐性皮肤松弛症2C型(617402,AR)"
ATP7A	"缅克斯症候群(309400,XLR);枕角综合征(304150,XLR);脊髓肌萎缩症X3型(300489,XLR)"
ATP7B	"肝豆状核变性(277900,AR)"
ATP8A2	"小脑性共济失调，精神发育迟滞，平衡失调综合征4型(615268,AR)"
ATPAF2	"线粒体复合物V缺陷症N1型(604273,AR)"
ATR	"Seckel综合征1型(210600,AR)"
ATRX	"伴α-地中海贫血X连锁智力低下综合征(301040,XLD);精神发育迟滞-面失张力综合征X连锁1型(309580,XLR)"
ATXN1	"脊髓小脑性共济失调1型(164400,AD)"
ATXN10	"脊髓小脑性共济失调10型(603516,AD)"
ATXN2	"脊髓小脑性共济失调2型(183090,AD)"
ATXN3	"脊髓小脑性共济失调3型/Machdo-Joseph病(109150,AD)"
ATXN7	"脊髓小脑性共济失调7型(164500,AD)"
ATXN8	"脊髓小脑性共济失调8型(608768,AD)"
ATXN8OS	"脊髓小脑性共济失调8型(608768,AD)"
AUH	"3-甲基戊烯二酸尿症I型(250950,AR)"
AVPR2	"X连锁遗传性肾性尿崩症(304800,XLR);抗利尿不当肾病综合征(300539,XLR)"
AXIN1	"尾侧重复综合征(607864,)"
B2M	"家族性内脏淀粉样变性(105200,AD)"
B3GALNT2	"先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常A11型(615181,AR)"
B3GALT6	"埃莱尔-当洛综合征P2型(615349,AR);脊椎干骺端发育不良伴关节松弛1型(271640,AR)"
B3GAT3	"多关节错位-身材矮小-先天性颅面畸形及心脏病综合征(245600,AR)"
B3GLCT	"Peters-Plus综合征(261540,AR)"
B4GAT1	"先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常A13型(615287,AR)"
B4GALNT1	"痉挛性截瘫26型(609195,AR)"
B4GALT1	"先天性糖基化障碍2D型(607091,AR)"
B4GALT7	"埃莱尔-当洛综合征P1型(130070,AR)"
B9D1	"Joubert综合征27型(617120,AR);内脏囊肿，脑发育不良综合征9型(614209,AR)"
B9D2	"内脏囊肿，脑发育不良综合征10型(614175,AR)"
BAG3	"扩张型心肌病1HH型(613881,AD);肌原纤维肌病6型(612954,AD)"
BAP1	"肿瘤易感性综合征(614327,AD)"
BCAP31	"耳聋，肌张力障碍和脑神经髓鞘形成不良(300475,XLR)"
BCKDHA	"枫糖尿病(248600,AR)"
BCKDHB	"枫糖尿病(248600,AR)"
BCKDK	"支链酮酸脱氢酶激酶缺乏症(614923,)"
BCOR	"小眼畸形综合征2型(300166,XLD)"
BCS1L	"Bjornstad综合征(262000,AR);Leigh综合征(256000,AR,Mi);线粒体复合物Ⅲ缺陷症N1型(124000,AR)"
BDNF	"先天性中枢性低通气综合征(209880,AD)"
BEAN1	"脊髓小脑性共济失调31型(117210,AD)"
BHLHE41	"短睡眠(612975,AD)"
BICD2	"下肢为主的脊髓性肌萎缩症2型(615290,AD)"
BIN1	"中央核肌病2型(255200,AR)"
BMP1	"成骨不全13型(614856,AR)"
BMP4	"小眼畸形综合征6型(607932,AD)"
BMPER	"透明脊柱异骨症(608022,AR)"
BOLA3	"线粒体多功能失调综合征2型(614299,AR)"
BRAF	"心-面-皮肤综合征(115150,AD);努南综合征7型(613706,AD)"
BRAT1	"新生儿致死性强直，多灶性癫痫综合征(614498,AR)"
BRCA2	"神经胶质瘤3型(613029,AR);成神经管细胞瘤(155255,AD,AR)"
BRF1	"小脑-面部-牙综合征(616202,AR)"
MPC1	"线粒体丙酮酸载体缺陷综合征(614741,AR)"
BRWD3	"X连锁智力低下93型(300659,XLR)"
BSCL2	"先天性全身性脂代谢营养不良2型(269700,AR);远端型遗传性运动性神经元病5A型(600794,AD);痉挛性截瘫17型(270685,AD)"
BSND	"巴特综合征4A型(602522,AR)"
BTD	"生物素缺乏症(253260,AR)"
BTK	"生长激素缺乏症(307200,XLR);X连锁丙种球蛋白缺乏血症(300755,XLR)"
BTNL2	"易感性肉瘤样病2型(612387,AD)"
BUB1B	"斑花叶非整倍体综合征1型(257300,AR)"
BVES	"肢带型肌营养不良2X型(616812,AR)"
C12orf57	"Temtamy综合征(218340,AR)"
C12orf65	"氧化磷酸化结合障碍性疾病7型(613559,AR);痉挛性截瘫55型(615035,AR)"
C19orf12	"脑组织铁沉积性神经变性病4型(614298,AR);痉挛性截瘫43型(615043,AR)"
SERPING1	"遗传性血管源性水肿(106100,AD)"
C2CD3	"口-面-指综合征14型(615948,AR)"
MMADHC	"甲基丙二酸血症伴高同型半胱氨酸血症1D型(277410,AR)"
C5orf42	"Joubert综合征17型(614615,AR);口-面-指综合征6型(277170,AR)"
SUGCT	"戊二酸尿症3型(231690,AR)"
CCM2	"脑海绵状血管畸形2型(603284,AD)"
C8A	"补体成分8缺乏症1型(613790,AR)"
C8B	"补体成分8缺乏症2型(613789,AR)"
C9orf72	"伴或不伴肌萎缩侧索硬化的额颞叶痴呆1型(105550,AD)"
CA2	"骨硬化症B3型(259730,AR)"
CA8	"小脑性共济失调，精神发育迟滞，平衡失调综合征3型(613227,AR)"
CACNA1A	"早期幼儿癫痫性脑病42型(617106,AD);发作性共济失调2型(108500,AD);家族性偏瘫型偏头痛1型(141500,AD);脊髓小脑性共济失调6型(183086,AD)"
CACNA1B	"肌张力障碍23型(614860,AD)"
CACNA1C	"Brugada综合征3型(611875,AD)"
CACNA1D	"原发性醛固酮增多症，癫痫和神经异常综合征(615474,AD)"
CACNA1G	"脊髓小脑性共济失调42型(616795,AD)"
CACNA1H	"特发性全面性癫痫6型(611942,AD)"
CACNA1S	"低钾型周期性麻痹1型(170400,AD);遗传性恶性高热5型(601887,AD);甲亢性周期性麻痹1型(188580,IC)"
CACNB2	"Brugada综合征4型(611876,AD)"
CACNB4	"特发性全面性癫痫9型(607682,AD);发作性共济失调5型(613855,AD)"
CACNG2	"常染色体显性精神发育迟滞10型(614256,AD)"
CAD	"先天性糖基化障碍1Z型(616457,AR)"
CALR3	"肥厚型心肌病19型(613875,AD)"
CAMTA1	"非进行性小脑性共济失调伴精神发育迟滞(614756,AD)"
CANT1	"Desbuquois发育不良(251450,AR)"
CAPN1	"痉挛性截瘫76型(616907,AR)"
CAPN3	"肢带型肌营养不良2A型(253600,AR)"
CARD9	"家族性念珠菌病2型(212050,AR)"
CARS2	"氧化磷酸化结合障碍性疾病27型(616672,AR)"
CASK	"精神发育迟滞，小头畸形伴脑桥及小脑发育不全(300749,XLD)"
CASQ1	"CASQ1聚积性空泡性肌病(616231,AD)"
CASQ2	"儿茶酚胺敏感性多形性室性心动过速(611938,AR)"
CASR	"特发性全面性癫痫8型(612899,AD);新生儿严重甲状旁腺功能亢进症(239200,AD,AR);常染色体显性低钙血症1型(601198,AD)"
CAV1	"局部脂肪代谢障碍，先天性白内障和神经退行性疾病综合征(606721,AD)"
CAV3	"家族性肥厚型心肌病1型(192600,AD);特发性高CK血症(123320,AD);肢带型肌营养不良1C型(607801,AD,AR);远端型肌病 Tateyama型(614321,AD);波纹肌肉病(606072,AD)"
CBS	"胱硫醚合成酶基因突变所致同型胱氨酸尿症(236200,AR)"
CC2D1A	"常染色体隐性精神发育迟滞3型(608443,AR)"
CC2D2A	"COACH综合征(216360,AR);Joubert综合征9型(612285,AR);内脏囊肿，脑发育不良综合征6型(612284,AR)"
CCBE1	"Hennekam淋巴管扩张/淋巴水肿综合征(235510,AR)"
CCDC115	"先天性糖基化障碍2O型(616828,AR)"
CCDC174	"婴儿肌张力减低伴精神运动发育迟滞(616816,AR)"
CCDC22	"Ritscher-Schinzel综合征2型(300963,XLR)"
CCDC78	"中央核肌病4型(614807,AD)"
CCDC88A	"类PEHO综合征(617507,AR)"
CCDC88C	"常染色体隐性遗传非综合征性脑积水1型(236600,AR);脊髓小脑性共济失调40型(616053,AD)"
KRIT1	"脑海绵状血管畸形1型(116860,AD)"
CCND1	"多发性骨髓瘤(254500,SMu);VHL综合征(193300,AD)"
CCND2	"巨颅，多小脑回，多指畸形，脑积水综合征3型(615938,AD)"
CCR5	"西尼罗河病毒（易感）(610379,AR)"
CCT5	"常染色体隐性遗传性感觉神经病伴痉挛性截瘫(256840,AR)"
CD59	"CD59介导的伴或不伴有多发神经病的溶血性贫血(612300,AR)"
CD96	"C综合征(211750,AR)"
CDC45	"Meier-Gorlin 综合征7型(617063,AR)"
CDC6	"Meier-Gorlin综合征5型(613805,AR)"
CDH15	"常染色体显性精神发育迟滞3型(612580,AD)"
CDK5	"无脑回畸形综合征7型(616342,AR)"
CDK5RAP2	"小头畸形3型(604804,AR)"
CDK6	"小头畸形12型(616080,AR)"
CDKL5	"早期幼儿癫痫性脑病2型(300672,XLD)"
CDKN1C	"B-W综合征(130650,AD);胎儿宫内生长迟缓，骨骼发育不良，先天性肾上腺皮质发育不良，生殖异常综合征(614732,AD)"
CDKN2A	"黑素瘤-星形细胞瘤综合征(155755,AD)"
CDON	"全前脑11型(614226,AD, IC)"
CDT1	"Meier-Gorlin综合征4型(613804,AR)"
CECR1	"儿童期起病的结节性多动脉炎(615688,AR);Sneddon综合征(182410,AR)"
CENPE	"小头畸形13型(616051,AR)"
CENPF	"Stromme综合征(243605,AR)"
CENPJ	"小头畸形6型(608393,AR);Seckel综合征4型(613676,AR)"
CEP104	"Joubert综合征25型(616781,AR)"
CEP120	"伴或不伴多趾，短肋，胸廓发育不良11型(616300,AR)"
CEP135	"小头畸形8型(614673,AR)"
CEP152	"小头畸形9型(614852,AR);塞克尔综合征5型(613823,AR)"
CEP164	"肾消耗病15型(614845,AR)"
CEP290	"Joubert综合征5型(610188,AR);内脏囊肿，脑发育不良综合征4型(611134,AR);Senior-Loken综合征6型(610189,AR)"
CEP41	"Joubert综合征15型(614464,AR)"
CEP57	"斑花叶非整倍体综合征2型(614114,AR)"
CEP63	"伴或不伴多趾，短肋，胸廓发育不良6型(614728,AR)"
CEP83	"肾消耗病18型(615862,AR)"
CERS1	"进行性肌阵挛癫痫8型(616230,AR)"
CFH	"溶血性尿毒综合征(235400,AD,AR)"
CFHR1	"溶血性尿毒综合征(235400,AD,AR)"
CFHR3	"溶血性尿毒综合征(235400,AD,AR)"
CFI	"补体因子I缺乏症(610984,AR)"
CFL2	"线状体肌病7型(610687,AR)"
CHAMP1	"常染色体显性精神发育迟滞40型(616579,AD)"
CHAT	"先天性肌无力综合征6型(254210,AR)"
CHCHD10	"伴或不伴肌萎缩侧索硬化的额颞叶痴呆2型(615911,AD);常染色体显性孤立性肌病(616209,AD);脊髓肌萎缩症Jokela型(615048,AD)"
CHCHD2	"遗传性帕金森病22型(616710,AD)"
CHD2	"儿童初发型癫痫性脑病(615369,AD)"
CHD7	"CHARGE联合畸形(214800,AD)"
CHKB	"大锥状颗粒型先天性肌营养不良(602541,AR)"
CHMP1A	"脑桥，小脑发育不良8型(614961,AR)"
CHMP2B	"肌萎缩侧索硬化症17型(614696,AD);染色体3相关额颞叶痴呆(600795,AD)"
CHN1	"眼球后退综合征2型(604356,AD)"
CHRNA1	"致死性多发性翼状胬肉综合征(253290,AR);先天性肌无力综合征1A型(601462,AD);先天性肌无力综合征1B型(608930,AD,AR)"
CHRNA2	"夜间额叶癫痫4型(610353,AD)"
CHRNA4	"夜间额叶癫痫1型(600513,AD)"
CHRNB1	"先天性肌无力综合征2A型(616313,AD);先天性肌无力综合征2C型(616314,AR)"
CHRNB2	"夜间额叶癫痫2型(605375,AD)"
CHRND	"致死性多发性翼状胬肉综合征(253290,AR);先天性肌无力综合征3A型(616321,AD);先天性肌无力综合征3B型(616322,AR);先天性肌无力综合征3C型(616323,AR)"
CHRNE	"先天性肌无力综合征4A型(605809,AD,AR);先天性肌无力综合征4B型(616324,AR);先天性肌无力综合征4C型(608931,AR)"
CHRNG	"非致死性多发性翼状胬肉综合征(265000,AR);致死性多发性翼状胬肉综合征(253290,AR)"
CHST14	"埃莱尔-当洛综合征伴肌肉挛缩I型/拇指内收-马蹄内翻足综合征(601776,AR)"
CHST3	"伴先天性关节脱位的脊椎骨骺发育不良(143095,AR)"
CIB2	"Usher综合征1J型(614869,AR)"
CIC	"常染色体显性精神发育迟滞45型(617600,AD)"
CIDEC	"家族遗传性局部脂肪代谢障碍5型(615238,AR)"
CIITA	"裸淋巴细胞综合征2型(209920,AR)"
CIT	"小头畸形17型(617090,AR)"
CKAP2L	"Filippi综合征(272440,AR)"
CLCF1	"低温诱导出汗综合征2型(610313,AR)"
CLCN1	"显性遗传先天性肌强直症(160800,AD);隐性遗传先天性肌强直症(255700,AR)"
CLCN2	"特发性全面性癫痫11型(607628,AD);伴有共济失调的脑白质病(615651,AR)"
CLCN4	"X 连锁精神发育迟滞49型(300114,XLR)"
CLCN7	"骨硬化症A2型(166600,AD)"
CLCNKA	"巴特综合征4B型(613090,DR)"
CLCNKB	"巴特综合征4B型(613090,DR)"
CLDN16	"低镁血症3型(248250,AR)"
CLIC2	"精神发育迟滞X连锁综合征32型(300886,XLR)"
CLN3	"神经元蜡样质脂褐素沉积病3型(204200,AR)"
CLN5	"神经元蜡样质脂褐素沉积病5型(256731,AR)"
CLN6	"神经元蜡样质脂褐素沉积病6型(601780,AR);神经元蜡样质脂褐素沉积病4A型(204300,AR)"
CLN8	"神经元蜡样质脂褐素沉积病8型(600143,AR);神经元蜡样质脂褐素沉积病8型,北方癫痫型(610003,AR)"
CLP1	"脑桥，小脑发育不良10型(615803,AR)"
CLPB	"3-甲基戊酸尿症伴白内障，神经受累，嗜中性白血球减少症(616271,AR)"
CLPP	"佩罗特综合征3型(614129,AR)"
CNTN1	"Compton-North先天性肌病(612540,AR)"
CNTN2	"家族性成人肌阵挛性癫痫(615400,AR)"
CNTNAP1	"致死性先天挛缩综合征7型(616286,AR)"
CNTNAP2	"皮质发育不良伴局灶性癫痫综合征(610042,AR)"
COASY	"脑组织铁沉积性神经变性病6型(615643,AR)"
COG1	"先天性糖基化障碍2G型(611209,AR)"
COG2	"先天性糖基化障碍2Q型(617395,AR)"
COG4	"先天性糖基化障碍2J型(613489,AR)"
COG5	"先天性糖基化障碍2I型(613612,AR)"
COG6	"先天性糖基化障碍2L型(614576,AR);Shaheen综合征(615328,AR)"
COG7	"先天性糖基化障碍2E型(608779,AR)"
COG8	"先天性糖基化障碍2H型(611182,AR)"
COL11A2	"Weissenbacher-Zweymuller综合征(184840,AD)"
COL12A1	"Bethlem 肌病2型(616471,AD);乌尔里希先天性肌营养不良 2型(616470,AR)"
COL13A1	"先天性肌无力综合征19型(616720,AR)"
COL18A1	"克诺布洛赫综合征1型(267750,AR)"
COL1A1	"埃莱尔-当洛综合征1型(130000,AD);常染色体显性遗传埃莱尔-当洛综合征7型(130060,AD);成骨不全3型(259420,AD)"
COL1A2	"常染色体显性遗传埃莱尔-当洛综合征7型(130060,AD);成骨不全3型(259420,AD)"
COL25A1	"先天性眼外肌纤维化5型(616219,AR)"
COL2A1	"先天性脊椎骨骺发育不良(183900,AD);斯特鲁德维克型先天性脊椎干骺端发育不良(184250,AD)"
COL3A1	"Ehlers-Danlos综合征4型(130050,AD)"
