location	phenotype	pheno_mim	inherit	mapping_key	gene_related	gene_mim	annovar_gene
3q22.3	"Blepharophimosis, epicanthus inversus, and ptosis, type 1"	110100	AD	3	FOXL2	605597	FOXL2
7p14.3	"[Blood group, Colton]"	110450	None	3	AQP1	107776	AQP1
7p14.3	[Aquaporin-1 deficiency]	110450	None	3	AQP1	107776	AQP1
17q21.31	"[Blood group, Diego]"	110500	None	3	SLC4A1	109270	SLC4A1
1q23.2	"[Blood group, Duffy system]"	110700	AD	3	ACKR1	613665	ACKR1
6p24.3-p24.2	"[Blood group, Ii]"	110800	AD	3	GCNT2	600429	GCNT2
6p24.3-p24.2	Adult i phenotype without cataract	110800	AD	3	GCNT2	600429	GCNT2
7q34	"[Blood group, Kell]"	110900	None	3	KEL	613883	KEL
18q12.3	"[Blood group, Kidd]"	111000	None	3	SLC14A1	613868	SLC14A1
19p13.13	Blood group--Lutheran inhibitor	111150	None	3	KLF1	600599	KLF1
19q13.32	"[Blood group, Lutheran system]"	111200	None	3	LU	612773	BCAM
19q13.32	"[Blood group, Auberger system]"	111200	None	3	LU	612773	BCAM
19p13.2	"[Blood group, Landsteiner-Wiener]"	111250	None	3	ICAM4	614088	ICAM4
19p13.3	"[Blood group, OK]"	111380	None	3	BSG	109480	BSG
3q26.1	"[Blood group, P1PK system, P(k) phenotype]"	111400	None	3	B3GALT3	603094	B3GALNT1
22q13.2	"[Blood group, P1Pk system, P(2) phenotype]"	111400	None	3	A4GALT	607922	A4GALT
22q13.2	NOR polyagglutination syndrome	111400	None	3	A4GALT	607922	A4GALT
22q13.2	"[Blood group, P1Pk system, p phenotype]"	111400	None	3	A4GALT	607922	A4GALT
2q35	"[Blood group, Langereis system]"	111600	None	3	ABCB6	605452	ABCB6
1p34.2	"[Blood group, Radin]"	111620	None	3	ERMAP	609017	ERMAP
1p36.11	"[Blood group, Rhesus]"	111690	None	3	RHCE	111700	RHCE
1p34.2	"[Blood group, Scianna system]"	111750	None	3	ERMAP	609017	ERMAP
17q21.31	"[Blood group, Waldner]"	112010	None	3	SLC4A1	109270	SLC4A1
17q21.31	"[Blood group, Wright]"	112050	None	3	SLC4A1	109270	SLC4A1
7q22.1	"[Blood group, Yt system]"	112100	None	3	ACHE	100740	ACHE
17q25.3	Cole-Carpenter syndrome 1	112240	AD	3	P4HB	176790	P4HB
9p21.3	Diaphyseal medullary stenosis with malignant fibrous histiocytoma	112250	AD	3	MTAP	156540	MTAP
3p14.3	Boomerang dysplasia	112310	AD	3	FLNB	603381	FLNB
12p12.2	Hypertension and brachydactyly syndrome	112410	AD	3	PDE3A	123805	PDE3A
2q35	"Brachydactyly, type A1"	112500	AD	3	IHH	600726	IHH
4q22.3	"Brachydactyly, type A2"	112600	AD	3	BMPR1B	603248	BMPR1B
20p12.3	"Brachydactyly, type A2"	112600	AD	3	BMP2	112261	BMP2
20q11.22	"Brachydactyly, type A2"	112600	AD	3	GDF5	601146	GDF5
9q22.31	"Brachydactyly, type B1"	113000	AD	3	ROR2	602337	ROR2
20q11.22	"Brachydactyly, type C"	113100	AD	3	GDF5	601146	GDF5
2q31.1	"Brachydactyly, type D"	113200	AD	3	HOXD13	142989	HOXD13
2q31.1	"Brachydactyly, type E"	113300	AD	3	HOXD13	142989	HOXD13
12q24.11	Brachyolmia type 3	113500	AD	3	TRPV4	605427	TRPV4
6p24.3	Branchiooculofacial syndrome	113620	AD	3	TFAP2A	107580	TFAP2A
8q13.3	"Branchiootorenal syndrome 1, with or without cataracts"	113650	AD	3	EYA1	601653	EYA1
15q21.1	"Albinism, oculocutaneous, type VI"	113750	AR	3	SLC24A5	609802	SLC24A5
15q21.1	"[Skin/hair/eye pigmentation 4, fair/dark skin]"	113750	AR	3	SLC24A5	609802	SLC24A5
12q13.13	Epidermolytic hyperkeratosis	113800	AD	3	KRT1	139350	KRT1
17q21.2	Epidermolytic hyperkeratosis	113800	AD	3	KRT10	148080	KRT10
3p22.2	"Heart block, nonprogressive"	113900	AD	3	SCN5A	600163	SCN5A
3p22.2	"Heart block, progressive, type IA"	113900	AD	3	SCN5A	600163	SCN5A
8q24.21	Burkitt lymphoma	113970	IC	3	MYC	190080	MYC
17q21.33	Caffey disease	114000	AD	3	COL1A1	120150	COL1A1
17q24.3	Acampomelic campomelic dysplasia	114290	AD	3	SOX9	608160	SOX9
17q24.3	Campomelic dysplasia with autosomal sex reversal	114290	AD	3	SOX9	608160	SOX9
17q24.3	Campomelic dysplasia	114290	AD	3	SOX9	608160	SOX9
18p11.22-p11.21	"Arthrogryposis, distal, type 3"	114300	AD	3	PIEZO2	613629	PIEZO2
1p34.1	"{Breast cancer, invasive ductal}"	114480	AD	3	RAD54L	603615	RAD54L
2q33.1	"{Breast cancer, protection against}"	114480	AD	3	CASP8	601763	CASP8
2q35	"{Breast cancer, susceptibility to}"	114480	AD	3	BARD1	601593	BARD1
3q26.32	"Breast cancer, somatic"	114480	None	3	PIK3CA	171834	PIK3CA
5q34	"{Breast cancer, susceptibility to}"	114480	AD	3	HMMR	600936	HMMR
8q11.23	"Breast cancer, somatic"	114480	None	3	RB1CC1	606837	RB1CC1
11p15.4	"Breast cancer, somatic"	114480	None	3	SLC22A1L	602631	SLC22A18
11p15.1	"Breast cancer, somatic"	114480	None	3	TSG101	601387	TSG101
11q22.3	"{Breast cancer, susceptibility to}"	114480	AD	3	ATM	607585	ATM
12p12.1	"Breast cancer, somatic"	114480	None	3	KRAS	190070	KRAS
13q13.1	"{Breast cancer, male, susceptibility to}"	114480	AD	3	BRCA2	600185	BRCA2
14q32.33	"{Breast cancer, susceptibility to}"	114480	AD	3	XRCC3	600675	XRCC3
14q32.33	"Breast cancer, somatic"	114480	None	3	AKT1	164730	AKT1
15q15.1	"{Breast cancer, susceptibility to}"	114480	AD	3	RAD51A	179617	RAD51
16p12.2	"{Breast cancer, susceptibility to}"	114480	AD	3	PALB2	610355	PALB2
16q22.1	"{Breast cancer, lobular}"	114480	AD	3	CDH1	192090	CDH1
17p13.1	Breast cancer	114480	AD	3	TP53	191170	TP53
17q21.33	"{Breast cancer, susceptibility to}"	114480	AD	3	PHB	176705	PHB
17q23.2	"Breast cancer, somatic"	114480	None	3	PPM1D	605100	PPM1D
17q23.2	"Breast cancer, early-onset"	114480	AD	3	BRIP1	605882	BRIP1
22q12.1	"{Breast cancer, susceptibility to}"	114480	AD	3	CHEK2	604373	CHEK2
1p36.13	{Colorectal cancer}	114500	AD	3	PLA2G2A	172411	PLA2G2A
1p13.2	"Colorectal cancer, somatic"	114500	None	3	NRAS	164790	NRAS
2p25.1	"{Colonic adenoma recurrence, reduced risk of}"	114500	AD	3	ODC1	165640	ODC1
3p22.1	"Colorectal cancer, somatic"	114500	None	3	CTNNB1	116806	CTNNB1
3q26.32	"Colorectal cancer, somatic"	114500	None	3	PIK3CA	171834	PIK3CA
4p16.3	"Colorectal cancer, somatic"	114500	None	3	FGFR3	134934	FGFR3
4q31.3	"{Colorectal cancer, susceptibility to}"	114500	AD	3	TLR2	603028	TLR2
5q22.2	"Colorectal cancer, somatic"	114500	None	3	APC	611731	APC
5q22.2	"Colorectal cancer, somatic"	114500	None	3	MCC	159350	MCC
7q11.23	"Colon cancer, somatic"	114500	None	3	PTPN12	600079	PTPN12
8p22	"Colorectal cancer, somatic"	114500	None	3	DLC1	604258	DLC1
8p22	"Colorectal cancer, somatic"	114500	None	3	PDGFRL	604584	PDGFRL
8q22.1	"Colon cancer, somatic"	114500	None	3	RAD54B	604289	RAD54B
11p11.2	"Colon cancer, somatic"	114500	None	3	PTPRJ	600925	PTPRJ
11q13.3	"{Colorectal cancer, susceptibility to}"	114500	AD	3	CCND1	168461	CCND1
14q24.3	"Colorectal cancer, somatic"	114500	None	3	MLH3	604395	MLH3
14q32.33	"Colorectal cancer, somatic"	114500	None	3	AKT1	164730	AKT1
15q15.1	"Colorectal cancer, somatic"	114500	None	3	BUB1B	602860	BUB1B
17p13.1	Colorectal cancer	114500	AD	3	TP53	191170	TP53
17p11.2	"Colorectal cancer, somatic"	114500	None	3	FLCN	607273	FLCN
17q24.1	"Colorectal cancer, somatic"	114500	None	3	AXIN2	604025	AXIN2
18q21.2	"Colorectal cancer, somatic"	114500	None	3	DCC	120470	DCC
19q13.33	"Colorectal cancer, somatic"	114500	None	3	BAX	600040	BAX
20q11.23	"Colon cancer, advanced, somatic"	114500	None	3	SRC	190090	SRC
20q13.2	"{Colon cancer, susceptibility to}"	114500	AD	3	AURKA	603072	AURKA
22q13.2	"Colorectal cancer, somatic"	114500	None	3	EP300	602700	EP300
2q33.1	"Hepatocellular carcinoma, somatic"	114550	None	3	CASP8	601763	CASP8
3p22.1	"Hepatocellular carcinoma, somatic"	114550	None	3	CTNNB1	116806	CTNNB1
3q26.32	"Hepatocellular carcinoma, somatic"	114550	None	3	PIK3CA	171834	PIK3CA
5q22.2	"Hepatoblastoma, somatic"	114550	None	3	APC	611731	APC
6q25.3	"Hepatocellular carcinoma, somatic"	114550	None	3	IGF2R	147280	IGF2R
7q31.2	"Hepatocellular carcinoma, childhood type, somatic"	114550	None	3	MET	164860	MET
8p22	"Hepatocellular cancer, somatic"	114550	None	3	PDGFRL	604584	PDGFRL
16p13.3	"Hepatocellular carcinoma, somatic"	114550	None	3	AXIN1	603816	AXIN1
17p13.1	Hepatocellular carcinoma	114550	SMu	3	TP53	191170	TP53
11q23.1	"Carcinoid tumors, intestinal"	114900	AD	3	SDHD	602690	SDHD
17p11.2	"{Cardiac conduction defect, susceptibility to}"	115080	AD	3	AKAP10	604694	AKAP10
7q34	Cardiofaciocutaneous syndrome	115150	AD	3	BRAF	164757	BRAF
1q32.1	"Cardiomyopathy, hypertrophic, 2"	115195	AD	3	TNNT2	191045	TNNT2
15q22.2	"Cardiomyopathy, hypertrophic, 3"	115196	AD	3	TPM1	191010	TPM1
11p11.2	"Cardiomyopathy, hypertrophic, 4"	115197	AD	3	MYBPC3	600958	MYBPC3
1q22	"Cardiomyopathy, dilated, 1A"	115200	AD	3	LMNA	150330	LMNA
19q13.42	"Cardiomyopathy, familial restrictive, 1"	115210	AD	3	TNNI3	191044	TNNI3
16q23.2	"?Hypercarotenemia and vitamin A deficiency, autosomal dominant"	115300	AD	3	BCO1	605748	BCO1
1p36.13	Paragangliomas 4	115310	AD	3	SDHB	185470	SDHB
18q12.1	"Carpal tunnel syndrome, familial"	115430	AD	3	TTR	176300	TTR
2q33.3	"Cataract 4, multiple types"	115700	AD	3	CRYGD	123690	CRYGD
2q35	?Cataract 42	115900	AD	3	CRYBA2	600836	CRYBA2
3q27.3	"Cataract 20, multiple types"	116100	AD	3	CRYGS	123730	CRYGS
1q21.2	"Cataract 1, multiple types"	116200	AD	3	GJA8	600897	GJA8
10p13	"Cataract 30, pulverulent"	116300	AD	3	VIM	193060	VIM
4p16.1	?Cataract 41	116400	AD	3	WFS1	606201	WFS1
1p36.13	"Cataract 6, multiple types"	116600	AD	3	EPHA2	176946	EPHA2
6p24.3-p24.2	Cataract 13 with adult i phenotype	116700	AR	3	GCNT2	600429	GCNT2
16q22.1	"Cataract 5, multiple types"	116800	AD	3	HSF4	602438	HSF4
7q21.2	Cerebral cavernous malformations-1	116860	AD	3	CCM1	604214	KRIT1
7q21.2	Cavernous malformations of CNS and retina	116860	AD	3	CCM1	604214	KRIT1
7q21.2	Hyperkeratotic cutaneous capillary-venous malformations associated with cerebral capillary malformations	116860	AD	3	CCM1	604214	KRIT1
21q22.3	Leukocyte adhesion deficiency	116920	AR	3	ITGB2	600065	ITGB2
19q13.2	"Neuromuscular disease, congenital, with uniform type 1 fiber"	117000	AD	3	RYR1	180901	RYR1
19q13.2	Central core disease	117000	AD	3	RYR1	180901	RYR1
16q21	Spinocerebellar ataxia 31	117210	AD	3	BEAN	612051	BEAN1
13q14.2	"Dementia, familial Danish"	117300	AD	3	ITM2B	603904	ITM2B
3p26.1	"Spinocerebellar ataxia 29, congenital nonprogressive"	117360	AD	3	ITPR1	147265	ITPR1
5q35.3	Sotos syndrome 1	117550	AD	3	NSD1	606681	NSD1
20p13	Cerebrocostomandibular syndrome	117650	AD	3	SNRPB	182282	SNRPB
16q12.1	"[Earwax, wet/dry]"	117800	AD	3	ABCC11	607040	ABCC11
16q12.1	"[Colostrum secretion, variation in]"	117800	AD	3	ABCC11	607040	ABCC11
16q12.1	"[Axillary odor, variation in]"	117800	AD	3	ABCC11	607040	ABCC11
8q22.1	"Klippel-Feil syndrome 1, autosomal dominant"	118100	AD	3	GDF6	601147	GDF6
1q23.3	"Charcot-Marie-Tooth disease, type 1B"	118200	AD	3	MPZ	159440	MPZ
1p36.22	"?Charcot-Marie-Tooth disease, type 2A1"	118210	AD	3	KIF1B	605995	KIF1B
17p12	"Charcot-Marie-Tooth disease, type 1A"	118220	AD	3	PMP22	601097	PMP22
17p12	"Charcot-Marie-Tooth disease, type 1E"	118300	AD	3	PMP22	601097	PMP22
4p16.3	Cherubism	118400	AD	3	SH3BP2	602104	SH3BP2
20p12.2	Alagille syndrome 1	118450	AD	3	JAG1	601920	JAG1
5p15.2	Chondrocalcinosis 2	118600	AD	3	ANKH	605145	ANKH
14q13.3	"Chorea, hereditary benign"	118700	AD	3	NKX2-1	600635	NKX2-1
2q35	Paroxysmal nonkinesigenic dyskinesia 1	118800	AD	3	MR1	609023	MR1
1q32.2	van der Woude syndrome	119300	AD	3	IRF6	607199	IRF6
1q32.2	Popliteal pterygium syndrome 1	119500	AD	3	IRF6	607199	IRF6
16q22.1	Blepharocheilodontic syndrome 1	119580	AD	3	CDH1	192090	CDH1
6p21.1	Cleidocranial dysplasia	119600	AD	3	RUNX2	600211	RUNX2
6p21.1	"Cleidocranial dysplasia, forme fruste, with brachydactyly"	119600	AD	3	RUNX2	600211	RUNX2
6p21.1	"Cleidocranial dysplasia, forme fruste, dental anomalies only"	119600	AD	3	RUNX2	600211	RUNX2
5q31.1	"Clubfoot, congenital, with or without deficiency of long bones and/or mirror-image polydactyly"	119800	AD	3	PITX1	602149	PITX1
4q34.1	"Digital clubbing, isolated congenital"	119900	AR	3	HPGD	601688	HPGD
7q21.12	{Colchicine resistance}	120080	None	3	ABCB1	171050	ABCB1
1q44	Familial cold-induced inflammatory syndrome 1	120100	AD	3	NLRP3	606416	NLRP3
11p13	"?Coloboma, ocular"	120200	AD	3	PAX6	607108	PAX6
10q24.31	Papillorenal syndrome	120330	AD	3	PAX2	167409	PAX2
11p13	?Coloboma of optic nerve	120430	AD	3	PAX6	607108	PAX6
11p13	?Morning glory disc anomaly	120430	AD	3	PAX6	607108	PAX6
11q22.1	"Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or mental retardation"	120433	AD	3	YAP1	606608	YAP1
2p21-p16	"Colorectal cancer, hereditary nonpolyposis, type 1"	120435	AD	3	MSH2	609309	MSH2
11q12.1	"Complement component 4, partial deficiency of"	120790	AD	3	C1NH	606860	SERPING1
19q13.33	Cone-rod retinal dystrophy-2	120970	AD	3	CRX	602225	CRX
5q23.3	"Contractural arachnodactyly, congenital"	121050	AD	3	FBN2	612570	FBN2
20q13.33	Myokymia	121200	AD	3	KCNQ2	602235	KCNQ2
20q13.33	"Seizures, benign neonatal, 1"	121200	AD	3	KCNQ2	602235	KCNQ2
8q24.22	"Seizures, benign neonatal, 2"	121201	AD	3	KCNQ3	602232	KCNQ3
3q11.2	Coproporphyria	121300	AD	3	CPOX	612732	CPOX
3q11.2	Harderoporphyria	121300	AD	3	CPOX	612732	CPOX
1p36.22	"Corneal dystrophy, Schnyder type"	121800	AD	3	UBIAD1	611632	UBIAD1
5q31.1	"Corneal dystrophy, epithelial basement membrane"	121820	AD	3	TGFBI	601692	TGFBI
2q34	Corneal fleck dystrophy	121850	AD	3	PIKFYVE	609414	PIKFYVE
5q31.1	"Corneal dystrophy, Groenouw type I"	121900	AD	3	TGFBI	601692	TGFBI
20p11.23	"Corneal dystrophy, posterior polymorphous, 1"	122000	AD	3	OVOL2	616441	OVOL2
12q13.13	Meesmann corneal dystrophy	122100	AD	3	KRT3	148043	KRT3
17q21.2	Meesmann corneal dystrophy	122100	AD	3	KRT12	601687	KRT12
5q31.1	"Corneal dystrophy, lattice type I"	122200	AD	3	TGFBI	601692	TGFBI
10q25.1	Epithelial recurrent erosion dystrophy	122400	AD	3	COL17A1	113811	COL17A1
5p13.2	Cornelia de Lange syndrome 1	122470	AD	3	NIPBL	608667	NIPBL
16p11.2	Spondylocostal dysostosis 5	122600	AD	3	TBX6	602427	TBX6
10q23.33	Warfarin sensitivity	122700	AD	3	CYP2C9	601130	CYP2C9
16p11.2	Warfarin resistance	122700	AD	3	VKORC1	608547	VKORC1
19q13.2	Coumarin resistance	122700	AD	3	CYP2A6	122720	CYP2A6
Xq27.1	{Warfarin sensitivity}	122700	AD	3	F9	300746	F9
17q21.31	"Craniodiaphyseal dysplasia, autosomal dominant"	122860	AD	3	SOST	605740	SOST
2q36.1	Craniofacial-deafness-hand syndrome	122880	AD	3	PAX3	606597	PAX3
5p15.2	Craniometaphyseal dysplasia	123000	AD	3	ANKH	605145	ANKH
7p21.1	Craniosynostosis 1	123100	AD	3	TWIST1	601622	TWIST1
8p11.23	Jackson-Weiss syndrome	123150	AD	3	FGFR1	136350	FGFR1
10q26.13	Jackson-Weiss syndrome	123150	AD	3	FGFR2	176943	FGFR2
3p25.3	"Creatine phosphokinase, elevated serum"	123320	AD	3	CAV3	601253	CAV3
6p21.32	"{Creutzfeldt-Jakob disease, variant, resistance to}"	123400	AD	3	HLA-DQB1	604305	HLA-DQB1
20p13	Creutzfeldt-Jakob disease	123400	AD	3	PRNP	176640	PRNP
10q26.13	Crouzon syndrome	123500	AD	3	FGFR2	176943	FGFR2
7q11.23	"Cutis laxa, autosomal dominant"	123700	AD	3	ELN	130160	ELN
10q26.13	Beare-Stevenson cutis gyrata syndrome	123790	AD	3	FGFR2	176943	FGFR2
2q35	"Mitochondrial complex III deficiency, nuclear type 1"	124000	AR	3	BCS1L	603647	BCS1L
12q24.11	Darier disease	124200	AD	3	ATP2A2	108740	ATP2A2
8p21.3	"Deafness, congenital, with onychodystrophy, autosomal dominant"	124480	AD	3	ATP6V1B2	606939	ATP6V1B2
13q12.11	Vohwinkel syndrome	124500	AD	3	GJB2	121011	GJB2
5q31.3	"Deafness, autosomal dominant 1"	124900	AD	3	DIAPH1	602121	DIAPH1
3q29	Optic atrophy plus syndrome	125250	AD	3	OPA1	605290	OPA1
19p13.12	Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy 1	125310	AD	3	NOTCH3	600276	NOTCH3
3p21.31	"Failure of tooth eruption, primary"	125350	AD	3	PTHR1	168468	PTH1R
12p13.31	Dentatorubro-pallidoluysian atrophy	125370	AD	3	ATN1	607462	ATN1
6q27	"Dentin dysplasia, type I, with microdontia and misshapen teeth"	125400	AR	3	SMOC2	607223	SMOC2
4q22.1	"Dentin dysplasia, type II"	125420	AD	3	DSPP	125485	DSPP
4q22.1	"Dentinogenesis imperfecta, Shields type II"	125490	AD	3	DSPP	125485	DSPP
4q22.1	"Dentinogenesis imperfecta, Shields type III"	125500	AD	3	DSPP	125485	DSPP
